repo,rama_por_defecto,ultimo_commit,dias_sin_commits,commits_30d,commits_90d,commits_365d,autores_distintos,commits_muestreados,ficheros_en_HEAD,tiene_LICENSE,workflows_CI,ficheros_test,tiene_SECURITY_md
astral-sh/uv,main,2026-08-24,0,100,100,100,16,100,1706,2,42,592,1
awslabs/mcp,main,2026-08-25,0,100,100,100,35,100,3725,1,32,1397,0
basicmachines-co/basic-memory,main,2026-08-25,0,100,100,100,8,100,1377,1,11,412,1
biomejs/biome,main,2026-08-25,0,100,100,100,24,100,28137,2,24,23222,0
block/goose,main,2026-08-25,0,100,100,100,31,100,2441,1,41,130,1
bmad-code-org/BMAD-METHOD,main,2026-08-23,1,77,100,100,10,100,603,1,5,41,1
brennercruvinel/CCPlugins,main,2025-10-06,322,0,0,2,1,114,37,1,1,0,0
browser-use/browser-use,main,2026-08-24,0,127,457,1859,115,1859,494,1,10,118,1
browserbase/stagehand,main,2026-08-24,0,62,100,100,12,100,1108,1,6,208,0
bytedance/deer-flow,main,2026-08-25,0,100,100,100,48,100,2419,1,14,787,1
cachix/devenv,main,2026-08-24,0,237,392,392,28,392,1547,1,17,460,1
camel-ai/owl,main,2026-08-15,10,3,7,50,43,278,153,3,2,0,0
carlrannaberg/claudekit,main,2026-03-31,146,0,0,135,2,135,490,1,3,64,0
casey/just,master,2026-08-20,4,6,100,100,1,100,318,1,2,116,0
centminmod/my-claude-code-setup,master,2026-08-01,24,2,56,100,1,100,133,1,0,0,0
charmbracelet/crush,main,2026-08-25,0,113,113,113,22,113,1102,1,10,0,0
chroma-core/chroma,main,2026-08-22,3,33,100,100,10,100,2135,1,22,290,0
circlemind-ai/fast-graphrag,main,2025-11-01,296,0,0,1,15,195,94,1,2,21,0
cline/cline,main,2026-08-25,0,100,100,100,10,100,3832,1,16,256,1
cloudflare/mcp-server-cloudflare,main,2026-08-24,1,16,30,86,28,110,469,1,4,9,0
coleam00/context-engineering-intro,main,2026-03-16,162,0,0,9,2,25,247,1,0,20,0
comet-ml/opik,main,2026-08-25,0,100,100,100,18,100,11095,1,82,1591,0
